customer_id,customer_name,email,registration_date,age,city,total_purchases,total_spent,last_purchase_date,is_active
1,Customer_0001,customer_0001@example.com,2023-11-24,56.0,Chicago,42,2079.03,2023-10-06,True
2,Customer_0002,customer_0002@example.com,2023-02-27,69.0,Phoenix,14,4207.02,2023-04-26,True
3,Customer_0003,customer_0003@example.com,2023-01-13,46.0,Los Angeles,11,1949.97,2023-11-28,False
4,Customer_0004,customer_0004@example.com,2023-05-21,32.0,New York,18,2880.77,2023-03-18,False
5,Customer_0005,customer_0005@example.com,2023-05-06,60.0,Chicago,12,2959.46,2023-05-17,False
6,Customer_0006,customer_0006@example.com,2023-04-25,25.0,Chicago,23,963.16,2023-03-14,False
7,Customer_0007,customer_0007@example.com,2023-03-13,78.0,New York,12,1843.07,2023-02-06,True
8,Customer_0008,customer_0008@example.com,2023-02-22,38.0,Phoenix,13,1705.83,2023-01-31,False
9,Customer_0009,customer_0009@example.com,2023-12-13,56.0,New York,25,179.67,2023-03-26,True
10,Customer_0010,customer_0010@example.com,2023-10-07,75.0,Los Angeles,45,169.75,2023-06-07,True
11,Customer_0011,customer_0011@example.com,2023-02-14,36.0,New York,19,4166.9,2023-11-01,True
12,Customer_0012,customer_0012@example.com,2023-10-30,40.0,Chicago,46,1401.7,2023-10-19,False
13,Customer_0013,customer_0013@example.com,2023-08-05,28.0,New York,36,2614.49,2023-05-28,False
14,Customer_0014,customer_0014@example.com,2023-01-17,28.0,Phoenix,45,1528.69,2023-08-13,True
15,Customer_0015,customer_0015@example.com,2023-01-16,41.0,Houston,8,4706.36,2023-03-05,True
16,Customer_0016,customer_0016@example.com,2023-02-17,70.0,New York,29,1333.52,2023-08-28,False
17,Customer_0017,customer_0017@example.com,2023-04-22,53.0,Phoenix,32,2176.8,2023-12-19,True
18,Customer_0018,customer_0018@example.com,2023-04-30,57.0,Phoenix,44,4370.01,2023-06-05,False
19,Customer_0019,customer_0019@example.com,2023-09-16,41.0,Chicago,18,4217.57,2023-12-25,False
20,Customer_0020,customer_0020@example.com,2023-11-05,20.0,Phoenix,6,971.2,2023-07-26,True
21,Customer_0021,customer_0021@example.com,2023-01-14,39.0,Phoenix,18,4023.08,2023-05-20,True
22,Customer_0022,customer_0022@example.com,2023-10-15,70.0,Phoenix,19,2318.03,2023-09-14,False
23,Customer_0023,customer_0023@example.com,2023-04-12,19.0,Phoenix,22,2440.7,2023-10-04,False
24,Customer_0024,customer_0024@example.com,2023-11-29,41.0,Los Angeles,37,710.73,2023-09-10,True
25,Customer_0025,customer_0025@example.com,2023-12-26,61.0,Los Angeles,32,448.98,2023-08-13,False
26,Customer_0026,customer_0026@example.com,2023-10-07,47.0,Chicago,41,3653.3,2023-02-11,True
27,Customer_0027,customer_0027@example.com,2023-08-03,55.0,New York,3,2507.48,2023-11-03,True
28,Customer_0028,customer_0028@example.com,2023-04-23,19.0,Phoenix,28,2212.41,2023-01-21,False
29,Customer_0029,customer_0029@example.com,2023-08-18,77.0,New York,10,3661.07,2023-08-10,False
30,Customer_0030,customer_0030@example.com,2023-10-29,38.0,New York,35,3839.29,2023-06-15,True
31,Customer_0031,customer_0031@example.com,2023-05-23,50.0,Chicago,29,836.6,2023-11-06,False
32,Customer_0032,customer_0032@example.com,2023-01-04,,Phoenix,15,3070.61,2023-05-09,True
33,Customer_0033,customer_0033@example.com,2023-03-23,75.0,Phoenix,33,720.0,2023-01-14,True
34,Customer_0034,customer_0034@example.com,2023-12-24,39.0,Houston,7,3769.31,2023-02-16,True
35,Customer_0035,customer_0035@example.com,2023-08-05,78.0,New York,12,3301.93,2023-04-28,False
36,Customer_0036,customer_0036@example.com,2023-06-24,61.0,New York,49,4785.24,2023-12-12,True
37,Customer_0037,customer_0037@example.com,2023-05-23,42.0,Los Angeles,30,391.34,2023-10-22,True
38,Customer_0038,customer_0038@example.com,2023-03-21,66.0,Houston,21,332.42,2023-10-28,True
39,Customer_0039,customer_0039@example.com,2023-04-21,44.0,Los Angeles,31,1446.83,2023-01-11,False
40,Customer_0040,customer_0040@example.com,2023-06-22,76.0,Los Angeles,24,1345.44,2023-12-11,True
41,Customer_0041,customer_0041@example.com,2023-02-22,59.0,Los Angeles,20,1272.55,2023-05-18,False
42,Customer_0042,customer_0042@example.com,2023-02-17,45.0,Chicago,37,4535.96,2023-10-23,True
